event_id,date,event_type,severity,affected_region,duration_days,risk_increase
E000001,2017-05-10 00:00:00,Cyber Attack,8,Europe,195,20.99
E000002,2024-06-06 00:00:00,Port Strike,4,South America,158,8.9
E000003,2021-07-19 00:00:00,Cyber Attack,6,Asia,198,19.3
E000004,2026-04-10 00:00:00,Diplomatic Crisis,9,Africa,55,53.06
E000005,2019-12-12 00:00:00,Political Unrest,3,Asia,61,6.56
E000006,2025-08-26 00:00:00,Terrorism,7,Europe,27,40.57
E000007,2021-06-21 00:00:00,Diplomatic Crisis,2,North America,271,5.85
E000008,2019-01-18 00:00:00,War,8,Africa,41,21.83
E000009,2023-06-01 00:00:00,Diplomatic Crisis,6,Africa,60,16.44
E000010,2015-06-11 00:00:00,Export Restriction,10,South America,276,27.84
E000011,2017-10-13 00:00:00,Trade Sanction,8,North America,219,34.78
E000012,2016-01-15 00:00:00,War,9,Asia,163,53.53
E000013,2020-07-20 00:00:00,Port Strike,8,Asia,69,38.76
E000014,2024-10-01 00:00:00,Border Conflict,7,Asia,47,31.45
E000015,2023-07-02 00:00:00,Export Restriction,7,North America,68,34.43
E000016,2022-08-05 00:00:00,Cyber Attack,3,South America,233,16.19
E000017,2017-10-25 00:00:00,Border Conflict,10,Middle East,261,40.91
E000018,2019-01-24 00:00:00,Border Conflict,3,Asia,69,9.77
E000019,2026-06-23 00:00:00,Cyber Attack,4,North America,228,16.64
E000020,2017-11-25 00:00:00,Port Strike,7,South America,193,38.65
E000021,2022-06-22 00:00:00,Political Unrest,9,South America,140,49.8
E000022,2019-07-22 00:00:00,Terrorism,10,South America,354,24.4
E000023,2018-07-30 00:00:00,Terrorism,9,Middle East,122,18.25
E000024,2025-04-06 00:00:00,Diplomatic Crisis,1,Africa,313,2.98
E000025,2024-06-07 00:00:00,Political Unrest,8,Asia,239,18.08
E000026,2018-07-15 00:00:00,Cyber Attack,7,Asia,119,41.94
E000027,2016-11-29 00:00:00,Trade Sanction,1,Africa,8,2.21
E000028,2024-07-06 00:00:00,Diplomatic Crisis,2,South America,59,5.94
