date,route_id,trade_volume_tonnes,shipping_delay_days,freight_cost_usd,container_availability_index,port_congestion_index,fuel_cost_index,commodity_price_index,weather_disruption_score,geopolitical_risk_score,route_status,carbon_emissions_tonnes
2015-01-04,R00001,8418.69,7.55,4586.66,71.42,82.22,62.48,19.2,59.51,57.15,Delayed,3681.49
2015-01-11,R00001,9343.0,9.33,4574.7,79.27,72.01,59.31,35.05,91.27,41.47,Delayed,4085.69
2015-01-18,R00001,7090.69,3.67,4520.46,60.16,44.64,63.24,74.22,46.69,79.69,Normal,3100.76
2015-01-25,R00001,7829.79,9.22,4696.95,66.43,97.82,67.62,68.59,56.39,67.15,Delayed,3423.97
2015-02-01,R00001,11339.59,6.36,4507.98,96.2,73.21,58.83,28.98,95.92,7.59,Delayed,4958.8
2015-02-08,R00001,6844.61,10.61,4593.13,58.07,74.91,58.83,42.49,86.48,83.86,Delayed,2993.15
2015-02-15,R00001,8189.89,7.56,4667.95,69.48,80.74,67.9,50.8,25.36,61.04,Delayed,3581.44
2015-02-22,R00001,8234.77,8.22,4620.4,69.86,40.05,63.84,53.16,45.26,60.27,Delayed,3601.06
2015-03-01,R00001,11022.9,8.0,4523.17,93.52,56.59,57.65,39.04,84.17,12.97,Delayed,4820.31
2015-03-08,R00001,10369.74,3.08,4500.59,87.98,51.89,62.71,41.85,64.68,24.05,Normal,4534.69
2015-03-15,R00001,9462.04,6.71,4497.82,80.28,48.42,57.68,47.54,27.06,39.45,Delayed,4137.75
2015-03-22,R00001,9264.25,4.88,4461.11,78.6,50.31,57.67,40.16,50.4,42.81,Normal,4051.26
2015-03-29,R00001,6225.96,8.43,4585.09,52.82,17.56,61.21,44.95,68.09,94.36,Delayed,2722.61
2015-04-05,R00001,5934.5,6.71,4389.18,50.35,11.39,50.43,14.7,70.43,99.3,Delayed,2595.16
2015-04-12,R00001,9283.62,0.91,4287.2,78.76,36.47,51.38,30.58,3.43,42.48,Normal,4059.73
2015-04-19,R00001,11585.79,5.3,4462.2,98.29,64.63,57.19,37.89,57.26,3.41,Delayed,5066.47
2015-04-26,R00001,6764.1,4.62,4414.76,57.39,8.52,54.94,33.64,6.75,85.23,Normal,2957.94
2015-05-03,R00001,9422.96,8.5,4591.87,79.94,47.62,61.57,53.93,87.48,40.11,Delayed,4120.66
2015-05-10,R00001,10468.24,7.77,4485.7,88.81,79.02,55.46,45.94,53.12,22.38,Delayed,4577.76
